LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
9968,プログラミングでよく使う英単語のまとめ【随時更新】,"[""プログラミング"", ""英語"", ""命名規則"", ""English""]","。
C, Perl, SQL などで使われる。
snake_case / SNAKE_CASE
区切りをアンダースコアで表現する。
C 言語などでは定数を表す場合は全て大文字 ...",https://qiita.com//Ted-HM/items/7dde25dcffae4cdc7923,40,Ted-HM
8347,ペアプログラミングして気がついた新人プログラマの成長を阻害する悪習,"[""プログラミング"", ""Perl"", ""Ruby"", ""JavaScript""]","最近、あまりプログラミングが得意でない人のサポートをする形で、長い時間にわたってペアプログラミングを行っている。そのなかで、気がついた悪い習慣と成長するための良い習慣というものをまとめてみる。
...",https://qiita.com//hirokidaichi/items/27c757d92b6915e8ecf7,29,hirokidaichi
6282,AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]","Haskell で解いてみた
@hsjoihs さん
Go
AtCoder に登録したら解くべき精選過去問 10 問を Go で解いてみた
@ktateish さん
Perl ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
6246,【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","はワンライナー書くときに使える。egrepは拡張正規表現なのでPerlとかRubyみたいに便利な正規表現使える。fgrepは固定文字列検索するときに早い
詳細: 単語抽出する ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
5508,新人プログラマに知っておいてもらいたい人類がオブジェクト指向を手に入れるまでの軌跡,"[""オブジェクト指向"", ""Ruby"", ""JavaScript"", ""Perl"", ""Objective-C""]","あるのは、上記のように構造体の名前のprefixとしてつけ、構造体のポインタを第一引数として渡す手法だ。
その名残なのか、正確なところはよく知らないが、pythonやperl ...",https://qiita.com//hirokidaichi/items/591ad96ab12938878fe1,16,hirokidaichi
4523,【図解】Dockerの全体像を理解する -前編-,"[""Docker"", ""docker-compose"", ""dockerfile"", ""docker-machine"", ""DockerHub""]","agという概念があります。
tagとは「imageのversion」のことです。
例えば、以下のDocker Hubの画像のようにnginxイメージには 「1.14-perl ...",https://qiita.com//etaroid/items/b1024c7d200a75b992fc,8,etaroid
4422,インフラエンジニアとしてよく使うコマンド集,"[""CentOS"", ""MySQL"", ""インフラ"", ""Linux"", ""SRE""]"," grep -c ""127.0.0.1""
# -cでヒットした文字をカウント出来ます。
# 併せて-vを付けると 以外 をもとめる事も出来ます。
# 大きいサイズだとperl ...",https://qiita.com//sion_cojp/items/04a2aa76a1021fe77079,19,sion_cojp
3660,いまさらだけどGitを基本から分かりやすくまとめてみた,"[""Git""]","> | xargs perl -pi -e 's@<置換前文字列>@<置換後文字列>@g'
実行例
$ git grep -l aaa | xa ...",https://qiita.com//gold-kou/items/7f6a3b46e2781b0dd4a0,16,gold-kou
3251,WebAPIについての説明,"[""WebAPI"", ""PHP"", ""JavaScript"", ""HTML"", ""新人プログラマ応援""]","ータを、ブラウザが受け取り・解釈し、人間に見やすいデザインに再現します。
図2　WebサービスAPIがサーバからデータを取得する仕組み
　Web APIでは、PHPやPerl ...",https://qiita.com//busyoumono99/items/9b5ffd35dd521bafce47,5,busyoumono99
3034,脱初心者を目指すなら知っておきたい便利なVimコマンド25選 (Vimmerレベル診断付き),"[""Vim""]","こしい操作も.で繰り返したりできます。
「同じコマンドを何度もタイプしてるなー」と思ったときは.が役に立つかもしれません。
検索・置換系
正規表現検索を使いこなす (Perl ...",https://qiita.com//jnchito/items/57ffda5712636a9a1e62,6,jnchito
2909,新人プログラマに知ってもらいたいメソッドを読みやすく維持するいくつかの原則,"[""Ruby"", ""プログラミング"", ""JavaScript"", ""Perl""]","このサイトjsmeterでCCの計測もインタラクティブにできる。
他の言語でもjenkinsなどのCIにのせて計測していくことで関数を清潔に保つことがしやすくなる。
Perl ...",https://qiita.com//hirokidaichi/items/c9a76191216f3cc6c4b2,8,hirokidaichi
2425,すべての開発者へ。すごいGitHubリポジトリ10選,"[""GitHub"", ""JavaScript"", ""プログラミング"", ""api"", ""翻訳""]",.gitignoreファイルが必須となります。このファイルの内容は、プロジェクトごと、言語ごとに異なります。このリポジトリには、Rails、Python、Perl、Larav ...,https://qiita.com//baby-degu/items/6c0c73a1e79644ebbb1a,,baby-degu
2035,2020年の開発者が知っておくべき11の必須スキル,"[""プログラミング"", ""初心者"", ""日本語訳"", ""スキルアップ""]","たしかに、OOPとスクリプティングの両方に適したPythonのような言語も存在します。
しかしあなたがC/C++やJavaを選んでいたとしたら、これらはPythonやPerl ...",https://qiita.com//rana_kualu/items/c79a16ff503c86b27483,9,rana_kualu
1967,ライセンスの選択を恐れる必要はありません,"[""ライセンス"", ""GPL"", ""MIT-License"", ""ApacheLicense""]","/
どちらの場合にも著作権表示があり、前者はライセンス名で表記、後者はライセンスを明記したページのURLへ誘導してゐることが特徴的です。
補足2. マルチライセンス
Perl ...",https://qiita.com//tadsan/items/99d816e78ca429093b75,10,tadsan
1917,2018年の最先端バックエンドエンジニアになろう,"[""Node.js"", ""PHP"", ""バックエンド""]","ならPythonを選ぶといいんじゃないかな。
え？Perl？ははは
フロントエンドの記事に比べると熱量が少々足りず、途中からあからさまに飽きてきた感があって趣があります。
い ...",https://qiita.com//rana_kualu/items/19ab559dddbca6674417,2,rana_kualu
1892,気付いたら.gitignoreはgiboで自動生成する時代になっていた,"[""Git"", ""gitignore"", ""gibo""]","jure         Grails          Packer          Terraform
CMake           GWT         Perl ...",https://qiita.com//tmknom/items/c4bcebe17d25381fa45d,1,tmknom
1889,さいつよのターミナル環境を構築しよう,"[""dotfiles"", ""Zsh"", ""Vim"", ""tmux"", ""GitHub""]","ithub.com URL"" 1>&2
exit 1
fi
# Format username/reponame
uri=""$(echo ""$1"" | perl ...",https://qiita.com//b4b4r07/items/09815eda8ef72e0b472e,8,b4b4r07
1670,関数型言語のウソとホント,"[""関数型言語"", ""JavaScript"", ""Haskell""]","n
2,588
1082
0% 0% 0% 100%
117
Python 3
16 min
16 min
4,252
1181
1% 0% 0% 100%
133
Perl ...",https://qiita.com//hiruberuto/items/26a813ab2b188ca39019,78,hiruberuto
1669,HTTP/1.1 200 OK,"[""rest"", ""JavaScript""]","はなく、すべてはモノトーンだった。
　そんな僕の唯一の人間らしい行動がプログラミングだった。当時はPHPが流行り始めたくらいのころで、ウェブプログラミングといえばまだPerl ...",https://qiita.com//katanov/items/1d99d27844392e380ec7,2,katanov
1480,シェルスクリプトを書くときに気をつける9箇条,"[""ShellScript"", ""Bash""]","できるという汎用性の高さは非常に優れたものです。
シェルスクリプトの使用は以下の様な利益をもたらします。
システムの標準の機能
組み込み機器の問題などの様々な制約で、perl ...",https://qiita.com//b4b4r07/items/9ea50f9ff94973c99ebe,8,b4b4r07
1459,M1 Macの開発環境,"[""Mac""]","ルド
11/25
✔︎
PHP
7.3.11
x86_64
プリインストール
12/02
✔︎
PHP
7.4.12
arm64
MacPorts
11/21
✔︎
Perl ...",https://qiita.com//shibukawa/items/797b7cbb7e530842e6f7,17,shibukawa
1457,フリーランスエンジニアの単価を決める,"[""フリーランス"", ""キャリア"", ""ポエム""]","会社を考えたけど給与安すぎてやめて、中学ぐらいからWeb業界を目指した
ガラケー向けサイトをCGI(Perl)コピペして作ったり、ウルティマオンラインやってた
高校時代にキャ ...",https://qiita.com//KazukiTanaka/items/130a2c477847b24e35ce,4,KazukiTanaka
1422,Dockerについてなるべくわかりやすく説明する,"[""Docker""]","と思っている人
Dockerとは
　Dockerを使えば、OSとアプリがインストールされた環境を閉じ込めて保存しておき、いつでもその環境を立ちあげることができます。""perl ...",https://qiita.com//rawHam/items/80ba13d2d2d56dba411e,16,rawHam
