LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
6282,AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]"," で解いてみた
@Kutimoti_T さん
PHP
AtCoder に登録したら解くべき精選過去問 10 問を PHP で解いてみた
@rock619 さ ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
6246,【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","がいいというのを決めるより「これは何が優れているか」をみて、シーンによって起動するのを変えてしまう。
http://ja.netbeans.org/
PhpStorm
PHP ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
4795,2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"[""キャリア"", ""AWS"", ""gcp""]","したら幸いです。
言語
ロードマップに記載されていた言語のうち、私は一応
Elixir
Scala
Java
.NET (C#とVB.NET)
Python
Ruby
PHP ...",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,18,poly_soft
4441,Reactを使うとなぜjQueryが要らなくなるのか,"[""React"", ""jQuery""]",ませんか。というか、これってサーバサイド言語（PHP とか JSP とか）で使ってきたテンプレートを、ちょっと面倒くさくしただけではないでしょうか。テンプレートと比べて何が嬉 ...,https://qiita.com//naruto/items/fdb61bc743395f8d8faf,9,naruto
4391,良いコードの書き方,"[""コーディング規約"", ""チーム開発"", ""プログラミング"", ""Swift"", ""Java""]","上で、どうしても必要な最低限のものだけグローバルなアクセス方法を用意するようにする。
バックエンドのグローバル変数
HTMLをサーバー側で生成するタイプのWEBアプリ（PHP ...",https://qiita.com//alt_yamamoto/items/25eda376e6b947208996,50,alt_yamamoto
3941,「AWS is 何」を3行でまとめてみるよ,"[""AWS""]","ケールするときにdockerから起動できて楽。
AWS Elastic Beanstalk
heroku パクリ ライクにAWS使うためのインターフェイス。Ruby, PHP ...",https://qiita.com//kohashi/items/1bb952313fb695f12577,12,kohashi
3891,すべての新米フロントエンドエンジニアに読んでほしい50の資料,"[""フロントエンド"", ""JavaScript"", ""HTML"", ""CSS"", ""初心者""]","のjQueryやRailsやPHPのように、技術に明るくない方が書いたページが多いと感じていて、ちゃんとVueを学ぶならまずは公式を見ましょう。
言語を知る
JSを知る
[2 ...",https://qiita.com//suzu-4/items/ea5d802cb0ad16682ae2,2,suzu-4
3861,ウェブカツ運営者が語る！エンジニアで稼ぐために大切な２０のコト,"[""新人プログラマ応援"", ""プログラミング教育"", ""プロジェクト管理"", ""マネジメント""]","ているとhtml・cssが出来る程度で「プログラミングが出来ます！」と言っている人もいます。
稼ぎたいなら、html、CSS、jsなどフロント側言語とphp、ruby、jav ...",https://qiita.com//kazukichi/items/7379b75fba2f90d3cf45,74,kazukichi
3251,WebAPIについての説明,"[""WebAPI"", ""PHP"", ""JavaScript"", ""HTML"", ""新人プログラマ応援""]","す。
誤解を生じるぐらい噛み砕いて簡単に説明してあります。
教科書的に通して読むことでWebAPIが理解出来るように書いてあります。
対象者
htmlとcssは書ける
php ...",https://qiita.com//busyoumono99/items/9b5ffd35dd521bafce47,5,busyoumono99
3188,PHPでデータベースに接続するときのまとめ,"[""PHP"", ""PDO"", ""データベース"", ""セキュリティ"", ""MySQL""]",れています。現在では筆者の思想が変化している面もありますので，過去の記事として参考程度にご覧ください。PDO に関しては大きく変わっていない部分が多いとは思いますが， PHP ...,https://qiita.com//mpyw/items/b00b72c5c95aac573b71,30,mpyw
3065,エンジニアが情報収集とトレンドを追うのに読むと良いサイト,"[""developer"", ""operation"", ""devops""]"," teratail
カンファレンス/イベント
■ オープンソースカンファレンス
■ JJUG
■ JSUG
■ JAWS-UG
■ HTML5
■ VimConf
■ PHP ...",https://qiita.com//ryuichi1208/items/604a68abb91949e79ece,17,ryuichi1208
