LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
9968,プログラミングでよく使う英単語のまとめ【随時更新】,"[""プログラミング"", ""英語"", ""命名規則"", ""English""]","hogehoge, ...
hoge と piyo の掛け合わせもある。
unko, chinko
一部に熱狂的な支持者がいる。
spam, ham, eggs
Python ...",https://qiita.com//Ted-HM/items/7dde25dcffae4cdc7923,40,Ted-HM
6282,AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]","場合は連想配列と呼ばれるものを用います、C++ では std::map 、Python では dictionary が使えます)。
この問題についても、std::set や  ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
6246,【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","
forever
coffee-script
rvm
nvm
nave
Python
pypy
pythonで書いたプログラムがちょっと遅いなと思ったらとり ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
5589,翻訳: WebAPI 設計のベストプラクティス,"[""api"", ""rest"", ""設計"", ""翻訳"", ""WebAPI""]","です。Java や C# であればキャメルケースで、Python や Ruby であればスネークケースといった感じです。
ちなみに、私はずっと、キャメルケースよりスネークケー ...",https://qiita.com//mserizawa/items/b833e407d89abd21ee72,19,mserizawa
5554,イマドキのJavaScriptの書き方2018,"[""JavaScript""]","
};
f(1, 2, 3, 4, 5, 6);
// 1, 2, [3, 4, 5, 6];
デフォルト引数
1/20追記
JavaScriptは同じ動的言語のPython ...",https://qiita.com//shibukawa/items/19ab5c381bbb2e09d0d9,47,shibukawa
5508,新人プログラマに知っておいてもらいたい人類がオブジェクト指向を手に入れるまでの軌跡,"[""オブジェクト指向"", ""Ruby"", ""JavaScript"", ""Perl"", ""Objective-C""]","
}
よくあるのは、上記のように構造体の名前のprefixとしてつけ、構造体のポインタを第一引数として渡す手法だ。
その名残なのか、正確なところはよく知らないが、python ...",https://qiita.com//hirokidaichi/items/591ad96ab12938878fe1,16,hirokidaichi
4795,2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"[""キャリア"", ""AWS"", ""gcp""]","ちのご参考になりましたら幸いです。
言語
ロードマップに記載されていた言語のうち、私は一応
Elixir
Scala
Java
.NET (C#とVB.NET)
Python ...",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,18,poly_soft
4726,要件定義～システム設計ができる人材になれる記事,"[""要件定義"", ""設計"", ""プログラミング"", ""Python""]","ので、記事を読んで良いなと感じて頂けたら
Twitterアカウント「Saku731」 もフォロー頂けると嬉しいです。
（追記）
Pythonでシステム開発する為に必要なスキル ...",https://qiita.com//Saku731/items/741fcf0f40dd989ee4f8,23,Saku731
4114,個人でも使える！おすすめAPI一覧,"[""GoogleCloudPlatform"", ""Python"", ""Instagram""]","gleスプレッドシートの読み取り・書き込み処理などができます
読み取りだけであればAPIkeyの発行だけでできますが、書き込みにはOAuth認証が必要です
参考：Python ...",https://qiita.com//mikan3rd/items/ba4737023f08bb2ca161,21,mikan3rd
4071,GitHubで使われている実用英語コメント集,"[""Git"", ""GitHub"", ""English"", ""Python"", ""AdventCalendar""]","解析と可視化
英語のコミットメッセージなので、日本語とは違いスペースで区切るだけで簡単に単語ごとに分解できます。
分解した単語の出現頻度をカウントするプログラムをpython ...",https://qiita.com//shikichee/items/a5f922a3ef3aa58a1839,7,shikichee
4057,Pythonを書き始める前に見るべきTips,"[""Python""]",Pythonを使ってこの方さまざまな点につまずいたが、ここではそんなトラップを回避して快適なPython Lifeを送っていただくべく、書き始める前に知って ...,https://qiita.com//icoxfog417/items/e8f97a6acad07903b5b0,26,icoxfog417
3941,「AWS is 何」を3行でまとめてみるよ,"[""AWS""]","
AWS Elastic Beanstalk
heroku パクリ ライクにAWS使うためのインターフェイス。Ruby, PHP, node.js, Java, Python ...",https://qiita.com//kohashi/items/1bb952313fb695f12577,12,kohashi
3295,画像処理の数式を見て石になった時のための、金の針,"[""機械学習"", ""OpenCV"", ""Python"", ""ComputerVision""]","画像処理は難しい。
Instagramのキレイなフィルタ、GoogleのPhoto Sphere、そうしたサービスを見て画像は面白そうだ！と心躍らせて開いた画像処理の本。そこに山と羅列される数式...",https://qiita.com//icoxfog417/items/adbbf445d357c924b8fc,7,icoxfog417
3288,特にプログラマーでもデータサイエンティストでもないけど、Tensorflowを1ヶ月触ったので超分かりやすく解説,"[""TensorFlow"", ""Python"", ""DeepLearning"", ""機械学習""]","。
入力となるデータなどを取り扱ってくれる頼りになるTensorはあくまでデータ構造で、学習処理の間でやりとりされるだけです。 Tensorはn次元の配列もしくはPython ...",https://qiita.com//tawago/items/c977c79b76c5979874e8,6,tawago
3263,Kaggleに登録したら次にやること ～ これだけやれば十分闘える！Titanicの先へ行く入門 10 Kernel ～,"[""Kaggle"", ""Python""]","世界中から集まる参加者が機械学習モデルの性能を競います。
下記の資料では、Kaggleとは何かが簡潔にまとめられています。最初にご覧いただくのがオススメです。
『Python ...",https://qiita.com//upura/items/3c10ff6fed4e7c3d70f0,15,upura
3165,2016年 独りで新規WEBサービスを開発・運用した際の知見,"[""Python"", ""Flask"", ""HTML"", ""SEO"", ""Rails""]","歩も未来にいるなと感じます。人間様が気分よくプログラムするための...というRubyの格言を見事に体現した存在です。
自分はセッション管理機能が必要なかったので、Python ...",https://qiita.com//haminiku/items/711cbdb894d1d6839e3e,3,haminiku
3024,ゼロからDeepまで学ぶ強化学習,"[""機械学習"", ""Python""]","をベースに、ハンズオンイベントを開催しました(PyConJPのTalkの増補改訂版)
Pythonではじめる強化学習 OpenAI Gym 体験ハンズオン
講義資料の方が図解 ...",https://qiita.com//icoxfog417/items/242439ecd1a477ece312,7,icoxfog417
2837,1時間で出来るWordPress環境構築(※永久無料・・・だった)【※2020/7/1より約300円/月が有料になります】,"[""WordPress"", ""GoogleCloudPlatform""]",elessで自動CDN化この時点でSEO/速度は95点初回面談中にこれやる⇨お客様笑顔モダンな技術は無いですけどお客様の安心を優先するなら最強— アプリもウェブもPython ...,https://qiita.com//ulwlu/items/dbb0db5cf7099b7a7cc4,161,ulwlu
2781,数時間で完全理解！わりとゴツいKubernetesハンズオン！！,"[""kubernetes"", ""AWS"", ""GoogleCloudPlatform"", ""eks"", ""GKE""]","Python/2.7.14 Darwin/18.2.0 botocore/1.12.115
$ aws-iam-authenticator help
(省略)
$ eksct ...",https://qiita.com//Kta-M/items/ce475c0063d3d3f36d5d,12,Kta-M
2742,レッドコーダーが教える、競プロ・AtCoder上達のガイドライン【初級編：競プロを始めよう】,"[""競技プログラミング"", ""AtCoder"", ""アルゴリズム"", ""数学"", ""新人プログラマ応援""]","。
1-8. おまけ：競プロにおける C++ のすすめ
AtCoder では、様々なプログラミング言語で競技を行うことができます。実際に、
C++14
Java
Python ...",https://qiita.com//e869120/items/f1c6f98364d1443148b3,13,e869120
2693,コーディングをするときに鼻血がでるほど便利なwebツールリスト,"[""tool"", ""Web"", ""coding"", ""正規表現"", ""naming""]","付きでまとめられています。
この言語でこれってどう書くんだっけ?ってときに便利です。
対応言語は以下。
Java
C
C++
C#
Python
Ruby
Swift
Go
 ...",https://qiita.com//isuke/items/7fcc5eb0b985005b7b7c,19,isuke
