LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
12097,Markdown記法 チートシート,"[""Qiita"", ""Markdown""]","の挿入
たとえば、Rubyで記述したコードをファイル名「qiita.rb」として投稿したいときは、 バッククオート を使用して以下のように投稿するとシンタックスハイライトが適 ...",https://qiita.com//Qiita/items/c686397e4a0f4f11683d,204,Qiita
9968,プログラミングでよく使う英単語のまとめ【随時更新】,"[""プログラミング"", ""英語"", ""命名規則"", ""English""]","組みがある。
C# の言語バージョンが進むにつれ、より洗練されていった。
public string Name { get; private set; } = 0;
Ruby ...",https://qiita.com//Ted-HM/items/7dde25dcffae4cdc7923,40,Ted-HM
8347,ペアプログラミングして気がついた新人プログラマの成長を阻害する悪習,"[""プログラミング"", ""Perl"", ""Ruby"", ""JavaScript""]","最近、あまりプログラミングが得意でない人のサポートをする形で、長い時間にわたってペアプログラミングを行っている。そのなかで、気がついた悪い習慣と成長するための良い習慣というものをまとめてみる。
...",https://qiita.com//hirokidaichi/items/27c757d92b6915e8ecf7,29,hirokidaichi
6661,非デザイナーエンジニアが一人でWebサービスを作るときに便利なツール32選,"[""Bootstrap"", ""Rails"", ""Heroku"", ""CSS"", ""Ruby""]","rticles/delayed-job
Redis&Resque
https://devcenter.heroku.com/articles/queuing-ruby ...",https://qiita.com//okappy/items/119e31cae9aa9bd9da6d,19,okappy
6282,AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]","un さん
Common Lisp
AtCoder に登録したら解くべき精選過去問 10 問を Common Lisp で解いてみた
@fireflower0 さん
Ruby ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
6246,【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]"," のビルドツール，テスト環境や本番などの環境ごとのブートストラップ指定や，結合テストの設定に
Ruby
travisCI
継続インテグレーション
bundler
アプリケーシ ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
5589,翻訳: WebAPI 設計のベストプラクティス,"[""api"", ""rest"", ""設計"", ""翻訳"", ""WebAPI""]","です。Java や C# であればキャメルケースで、Python や Ruby であればスネークケースといった感じです。
ちなみに、私はずっと、キャメルケースよりスネークケー ...",https://qiita.com//mserizawa/items/b833e407d89abd21ee72,19,mserizawa
5508,新人プログラマに知っておいてもらいたい人類がオブジェクト指向を手に入れるまでの軌跡,"[""オブジェクト指向"", ""Ruby"", ""JavaScript"", ""Perl"", ""Objective-C""]","ソッド探索は、動的継承とも呼ばれている。
このようにメソッドの動的な探索に対して、どのような機構をつけるのかというのが
オブジェクト指向では重要な構成要素と言える。
ruby ...",https://qiita.com//hirokidaichi/items/591ad96ab12938878fe1,16,hirokidaichi
5263,開設後３週間で収益１０万円を得た個人開発サイトでやったことの全部を公開する,"[""個人開発"", ""Ruby"", ""JavaScript"", ""AWS"", ""Heroku""]","開設して３週間ほどで収益１０万円を個人開発サイトから得たので、そこでやったことを全部ここに公開する。
世の中には＊＊億ドルのバリュエーションを獲得したスゲー起業家の話か、個人開発サイトを立ち上げ...",https://qiita.com//jabba/items/1a49e860a09a613b09d4,48,jabba
5110,エンジニアの情報収集法まとめ,"[""まとめ"", ""初心者"", ""勉強"", ""新人プログラマ応援""]","it(デブサミ)
Go
Go Conference
golang.tokyo
Go言語の初心者が見ると幸せになれる場所 - Qiita (@tenntenn さん)
Ruby ...",https://qiita.com//nesheep5/items/e7196ba496e59bb2aa28,18,nesheep5
